DateTime,Open,High,Low,Close,Volume
2016-10-20,14.06,14.23,13.85,13.94,355600
2016-10-21,14.0,14.179,13.75,13.82,113900
2016-10-24,14.05,14.148,13.9,14.01,100700
2016-10-25,14.15,14.5,14.01,14.41,85100
2016-10-26,14.99,14.99,14.38,14.8,117800
2016-10-27,15.47,17.49,14.966,15.82,228600
2016-10-28,16.4,17.0,16.375,16.74,119700
2016-10-31,17.5,18.88,17.07,18.25,256400
2016-11-01,18.68,18.74,17.75,17.95,119900
2016-11-02,18.74,18.741,15.06,15.355,148700
2016-11-03,15.4,15.916,15.02,15.32,143100
2016-11-04,15.5,15.5,15.0,15.2,54900
2016-11-07,16.27,16.27,15.05,15.21,46000
2016-11-08,15.2,16.107,15.2,15.89,97800
2016-11-09,15.89,16.9,15.89,16.27,73900
2016-11-10,16.76,18.19,16.5,16.84,37900
2016-11-11,18.33,18.33,17.065,17.5,89300
2016-11-14,18.17,18.2,17.1,17.6,74500
2016-11-15,17.74,18.58,17.079,18.15,100800
2016-11-16,18.75,21.61,18.525,21.58,192400
2016-11-17,21.75,23.97,20.9,21.8,185700
2016-11-18,21.78,23.303,20.0,20.5,71000
2016-11-21,20.54,21.49,20.531,20.8,84800
2016-11-22,21.13,21.49,20.0,20.07,47100
2016-11-23,20.1,20.433,18.064,19.34,72400
2016-11-25,19.96,20.5,19.96,20.4,14100
2016-11-28,21.43,21.98,20.55,20.56,59800
2016-11-29,21.2,23.25,20.56,23.07,62100
2016-11-30,23.0,23.25,21.115,21.82,108800
2016-12-01,21.67,21.7,19.98,19.98,115200
2016-12-02,20.5,21.003,19.0,19.03,70400
2016-12-05,19.1,21.017,19.1,20.94,46100
2016-12-06,21.68,22.38,20.332,22.23,61400
2016-12-07,21.8,22.0,20.54,20.89,85000
2016-12-08,20.9,21.54,20.27,21.1,60200
2016-12-09,21.29,21.967,20.1,20.77,37800
2016-12-12,21.01,21.499,20.08,20.36,34400
2016-12-13,20.0,21.13,19.15,19.6,105700
2016-12-14,19.12,19.878,18.63,19.11,62600
2016-12-15,19.2,19.8,18.76,19.18,36400
2016-12-16,20.28,20.28,19.047,19.52,41500
2016-12-19,19.85,21.0,19.699,20.55,58000
2016-12-20,20.87,21.977,20.18,20.18,76200
2016-12-21,20.75,21.5,20.07,20.28,77700
2016-12-22,20.76,21.241,20.0,20.12,34700
2016-12-23,20.27,20.9,20.05,20.86,12900
2016-12-27,21.59,21.59,20.6,21.02,36900
2016-12-28,21.5,21.5,20.0,20.0,65800
2016-12-29,21.1,21.1,20.0,20.03,16700
2016-12-30,20.45,20.694,19.95,20.26,21600
2017-01-03,21.0,22.5,20.5,22.5,48900
2017-01-04,24.85,24.999,21.51,23.55,190200
2017-01-05,24.0,24.01,22.26,22.96,57100
2017-01-06,24.36,24.36,21.6,22.54,54900
2017-01-09,23.4,23.4,22.3,22.89,48700
2017-01-10,23.2,23.2,22.59,22.99,34300
2017-01-11,23.0,23.0,21.73,22.39,64900
2017-01-12,22.93,22.99,21.879,22.23,43200
2017-01-13,22.6,22.866,21.0,21.14,49800
2017-01-17,21.34,22.06,21.3,21.5,29900
2017-01-18,21.97,22.478,21.5,22.23,39100
2017-01-19,22.23,22.45,21.02,21.03,49800
2017-01-20,21.39,21.678,20.0,20.0,61100
2017-01-23,20.0,20.5,17.62,18.54,194400
2017-01-24,18.86,18.952,18.12,18.95,56800
2017-01-25,19.0,19.203,18.199,18.84,31600
2017-01-26,18.41,18.84,18.329,18.58,43700
2017-01-27,18.57,18.921,18.3,18.43,24000
2017-01-30,18.0,18.342,17.7,17.74,64200
2017-01-31,17.5,18.34,17.5,17.75,52500
2017-02-01,17.5,18.37,17.01,17.22,36300
2017-02-02,17.22,17.22,15.58,16.26,105800
2017-02-03,16.04,16.25,15.27,15.65,98100
2017-02-06,15.73,16.47,15.67,15.75,54900
2017-02-07,15.8,15.8,15.22,15.22,52800
2017-02-08,15.25,15.49,14.5,14.9,81400
2017-02-09,14.95,15.185,14.643,14.78,132100
2017-02-10,14.78,15.209,14.5,15.01,52000
2017-02-13,15.21,16.563,15.1,16.43,91900
2017-02-14,16.46,17.49,16.203,17.26,77700
2017-02-15,17.26,17.52,11.63,15.9,724600
2017-02-16,16.18,19.0,15.5,18.49,293100
2017-02-17,19.0,19.99,17.35,18.07,173000
2017-02-21,18.13,18.9,17.1,17.3,103100
2017-02-22,17.35,17.71,16.54,17.71,68600
2017-02-23,17.85,18.0,17.02,17.64,51900
2017-02-24,17.69,18.14,17.173,17.9,43200
2017-02-27,18.03,19.95,18.0,19.95,122100
2017-02-28,20.16,24.0,19.25,23.73,163800
2017-03-01,23.5,23.5,21.5,22.47,88600
2017-03-02,22.5,23.5,21.0,21.54,80100
2017-03-03,21.69,22.5,21.01,21.14,34800
2017-03-06,21.39,22.34,20.7,21.88,37000
2017-03-07,22.04,22.466,20.7,21.34,48600
2017-03-08,21.53,22.87,21.53,22.43,56800
2017-03-09,22.82,23.9,21.02,21.37,194600
2017-03-10,21.62,23.367,21.032,21.15,32100
2017-03-13,22.0,22.636,20.88,21.17,85800
2017-03-14,21.6,22.19,21.17,21.34,53500
2017-03-15,21.5,21.982,20.12,21.0,52000
2017-03-16,21.25,21.525,20.21,20.49,58800
2017-03-17,20.96,21.22,20.25,20.75,40000
2017-03-20,20.85,21.29,20.2,21.24,29000
2017-03-21,21.24,21.45,19.5,19.72,46800
2017-03-22,19.67,20.02,18.164,18.68,56200
2017-03-23,18.58,19.75,17.8,17.81,66000
2017-03-24,17.9,18.549,17.87,17.88,48300
2017-03-27,18.5,18.84,18.0,18.24,70400
2017-03-28,20.0,20.8,19.0,20.42,163700
2017-03-29,21.0,21.0,19.38,20.77,103300
2017-03-30,21.27,21.27,20.2,20.72,53600
2017-03-31,20.8,21.93,20.61,21.77,83800
2017-04-03,22.0,22.22,21.11,21.61,90700
2017-04-04,21.3,21.58,20.291,20.9,89900
2017-04-05,20.74,21.094,19.335,19.85,62500
2017-04-06,19.8,20.13,19.3,19.47,43400
2017-04-07,19.5,19.92,19.0,19.29,25500
2017-04-10,19.19,19.59,18.57,18.86,58600
2017-04-11,18.69,19.19,18.56,18.9,31300
2017-04-12,19.0,19.0,18.65,18.9,20500
2017-04-13,18.6,19.46,18.6,19.41,37800
2017-04-17,19.47,19.99,19.03,19.87,61600
2017-04-18,19.99,20.3,19.06,19.17,45900
2017-04-19,19.05,19.09,17.05,17.57,242400
2017-04-20,17.36,17.8,17.11,17.29,90300
2017-04-21,17.25,17.481,16.82,16.97,102800
2017-04-24,17.0,17.015,16.14,16.58,91100
2017-04-25,16.99,17.1,16.6,16.9,66500
2017-04-26,17.02,17.02,16.57,16.67,47800
2017-04-27,17.0,17.02,16.57,17.0,98600
2017-04-28,16.84,17.02,16.42,17.02,49300
2017-05-01,17.0,17.02,16.28,17.02,97900
2017-05-02,17.0,17.08,16.3,16.6,83900
2017-05-03,16.84,16.84,15.51,16.21,112100
2017-05-04,16.3,16.915,15.9,16.7,67700
2017-05-05,17.0,17.05,16.57,16.98,92800
2017-05-08,17.0,17.0,16.25,16.7,62700
2017-05-09,16.98,17.02,16.737,16.95,56400
2017-05-10,17.0,17.02,16.69,17.02,53300
2017-05-11,17.02,17.02,16.1,16.79,56400
2017-05-12,17.0,17.02,16.821,17.0,48400
2017-05-15,17.02,17.2,16.842,17.15,188200
2017-05-16,17.07,17.1,16.29,16.52,159200
2017-05-17,16.4,16.74,15.51,15.51,179200
2017-05-18,15.47,16.19,15.21,15.77,67900
2017-05-19,15.88,15.98,15.49,15.54,60000
2017-05-22,15.99,15.99,15.325,15.55,59600
2017-05-23,15.99,15.99,15.4,15.75,43400
2017-05-24,15.94,15.94,15.555,15.65,26300
2017-05-25,15.75,15.84,15.14,15.38,52500
2017-05-26,15.02,15.535,15.02,15.04,60500
2017-05-30,15.04,15.385,13.9,14.24,231900
2017-05-31,14.01,14.2,13.5,13.62,145700
2017-06-01,13.76,14.398,13.54,14.34,113200
2017-06-02,14.99,14.99,14.139,14.24,72000
2017-06-05,14.53,14.53,13.67,14.28,92100
2017-06-06,14.17,14.712,14.1,14.31,90400
2017-06-07,14.4,15.0,14.1,14.78,86200
