DateTime,Open,High,Low,Close,Volume
2020-08-28,23.98,24.4,22.02,22.79,44847300
2020-08-31,22.69,22.79,20.33,20.5,20816000
2020-09-01,20.98,21.79,20.1,21.61,15291400
2020-09-02,21.99,22.0,20.38,21.09,9090100
2020-09-03,20.93,21.05,20.0,20.03,7897100
2020-09-04,19.98,20.18,18.01,19.03,10957400
2020-09-08,17.91,18.56,17.37,17.73,8724000
2020-09-09,18.575,18.65,17.91,18.07,5889000
2020-09-10,18.314,19.505,18.31,19.28,15465200
2020-09-11,19.49,19.55,18.36,19.1,4259700
2020-09-14,19.14,20.56,18.38,20.48,6296600
2020-09-15,20.59,21.14,20.26,21.12,4332400
2020-09-16,20.66,20.78,19.62,19.92,4053700
2020-09-17,19.01,19.67,19.01,19.24,2888000
2020-09-18,19.44,19.48,18.86,18.9,2789400
2020-09-21,18.27,18.38,17.425,18.15,5191200
2020-09-22,18.5,19.58,18.17,19.31,4131300
2020-09-23,19.42,19.42,18.1,18.41,3273900
2020-09-24,18.0,18.17,17.11,17.45,3995300
2020-09-25,17.81,18.0,17.12,17.93,5330800
2020-09-28,19.02,19.45,18.5,19.06,5507500
2020-09-29,19.06,19.2,18.53,18.78,5833800
2020-09-30,19.94,20.09,19.16,20.07,10406000
2020-10-01,20.15,20.23,18.51,18.67,10024400
2020-10-02,18.0,18.56,17.98,18.19,4525000
2020-10-05,19.58,20.39,19.22,20.04,14572300
2020-10-06,20.44,20.91,19.2,19.7,7054000
2020-10-07,19.98,20.59,19.85,20.16,4938600
2020-10-08,20.51,20.63,19.72,19.86,3516700
2020-10-09,19.75,20.06,19.51,20.0,2932100
2020-10-12,20.45,20.53,19.76,19.88,4898800
2020-10-13,19.7,19.8,19.31,19.64,3824000
2020-10-14,20.31,22.55,20.18,22.05,18302700
2020-10-15,21.93,22.76,21.05,22.16,10449200
2020-10-16,22.98,23.1,21.32,21.77,6251900
2020-10-19,21.82,21.93,19.82,19.84,8204100
2020-10-20,20.214,20.65,20.0,20.14,5993600
2020-10-21,20.2,20.47,20.01,20.42,4159700
2020-10-22,20.77,20.89,20.14,20.82,6382600
2020-10-23,20.9,20.93,19.95,20.05,4465800
2020-10-26,20.06,20.28,19.2,19.62,4263800
2020-10-27,19.62,20.25,19.54,19.9,3603800
2020-10-28,19.67,19.67,18.5,19.02,5551500
2020-10-29,19.19,20.82,19.19,20.72,10753300
2020-10-30,20.41,21.36,19.21,19.38,9323700
2020-11-02,21.47,22.46,20.51,20.72,19916300
2020-11-03,21.4,22.48,20.25,22.21,11308100
2020-11-04,24.04,27.44,23.4,27.39,50724000
2020-11-05,30.26,36.44,29.8,35.85,89538500
2020-11-06,36.32,39.5,33.18,34.81,102189400
2020-11-09,35.43,36.19,31.28,34.07,34809300
2020-11-10,34.39,36.5,31.01,32.9,32340200
2020-11-11,31.26,33.67,30.49,33.53,24899000
2020-11-12,36.48,48.57,35.6,44.73,166146200
2020-11-13,47.96,51.27,38.0,41.99,92071900
2020-11-16,40.53,45.49,39.0,44.1,39098400
2020-11-17,46.28,47.1,42.4,42.91,28768600
2020-11-18,43.29,43.97,40.1,42.18,26428600
2020-11-19,41.72,48.19,41.06,48.11,35122700
2020-11-20,48.66,56.77,48.3,53.89,79526200
2020-11-23,56.75,73.06,56.54,72.17,100012200
2020-11-24,72.17,74.49,62.77,70.63,99907800
2020-11-25,64.65,67.19,63.01,64.27,49197400
2020-11-27,65.29,68.42,61.15,64.28,26582800
2020-11-30,62.76,62.8,55.5,58.76,38926500
2020-12-01,61.79,63.35,51.3,52.36,48817300
2020-12-02,47.01,57.38,46.01,56.0,60694200
