DateTime,Open,High,Low,Close,Volume
2016-07-22,18.07,19.9,18.0,19.56,741200
2016-07-25,20.13,21.38,19.6,19.73,383100
2016-07-26,19.82,20.045,18.42,18.61,236700
2016-07-27,19.0,19.205,18.05,18.1,153200
2016-07-28,18.0,18.73,18.0,18.49,104900
2016-07-29,18.6,19.29,18.2,18.41,262600
2016-08-01,18.95,21.0,18.74,19.72,413500
2016-08-02,19.87,20.4,19.0,19.4,159400
2016-08-03,19.32,19.585,18.35,18.83,260000
2016-08-04,19.0,19.505,18.61,19.33,90300
2016-08-05,19.91,19.91,18.91,19.22,39100
2016-08-08,19.0,19.91,18.75,19.81,130200
2016-08-09,19.89,20.4,19.57,19.76,75700
2016-08-10,20.0,20.075,19.851,20.0,65900
2016-08-11,20.32,20.475,19.791,19.99,84500
2016-08-12,19.87,20.189,19.78,19.97,85200
2016-08-15,20.45,21.994,20.36,21.7,557700
2016-08-16,22.0,22.62,20.32,20.95,344900
2016-08-17,21.22,23.84,20.9,23.47,464900
2016-08-18,23.83,24.935,22.36,22.56,393200
2016-08-19,22.4,23.369,21.6,21.97,178300
2016-08-22,21.7,22.19,20.67,21.29,197500
2016-08-23,21.63,22.77,21.35,21.81,242900
2016-08-24,21.29,21.93,20.81,21.16,151200
2016-08-25,20.97,21.482,20.5,20.85,119900
2016-08-26,20.77,21.43,19.55,20.0,314600
2016-08-29,20.13,23.33,20.13,22.79,620600
2016-08-30,22.92,23.8,22.1,22.75,269200
2016-08-31,22.83,24.5,22.5,22.82,856800
2016-09-01,26.52,27.92,24.65,27.57,2120800
2016-09-02,27.87,33.6,27.75,32.67,3462200
2016-09-06,33.2,34.9,32.38,33.7,1561300
2016-09-07,33.7,34.72,32.1,34.6,1025400
2016-09-08,34.64,35.88,34.2,35.25,873600
2016-09-09,34.89,34.89,31.31,32.55,789800
2016-09-12,31.34,34.283,31.1,34.01,385100
2016-09-13,34.01,36.97,33.56,35.6,1193200
2016-09-14,36.13,37.86,35.53,36.65,934600
2016-09-15,37.12,37.85,36.25,37.07,570900
2016-09-16,36.8,37.55,36.42,36.97,735000
2016-09-19,37.49,37.499,36.25,36.33,436100
2016-09-20,36.42,36.623,32.93,33.35,994000
2016-09-21,33.24,34.87,32.55,34.32,674200
2016-09-22,34.36,35.28,33.51,33.85,496900
2016-09-23,34.02,34.365,33.38,34.24,298300
2016-09-26,34.38,34.5,32.01,32.13,503700
