DateTime,Open,High,Low,Close,Volume
2015-01-02,92.25,93.050003,91.81,92.83,10220400
2015-01-05,92.099998,92.4,89.5,90.29,18502400
2015-01-06,90.24,91.41,89.019997,89.81,16670700
2015-01-07,90.65,91.48,90.0,90.72,13590700
2015-01-08,91.25,92.27,91.0,92.23,15487500
2015-01-09,92.3,92.78,91.37,92.099998,14488400
2015-01-12,91.24,91.34,89.82,90.33,15176300
2015-01-13,90.88,91.43,89.11,90.0,17469000
2015-01-14,88.95,89.89,87.26,89.74,23272100
2015-01-15,90.43,90.66,88.51,88.96,18759600
2015-01-16,88.98,91.19,88.98,91.12,17713100
2015-01-20,91.14,91.78,90.38,91.089996,16761000
2015-01-21,91.74,91.99,91.010002,91.87,14276400
2015-01-22,92.31,92.97,91.32,92.87,13559000
2015-01-23,92.28,92.48,90.79,90.89,14706300
2015-01-26,90.61,91.94,90.47,91.76,10672500
2015-01-27,91.24,91.6,90.6,90.95,12301500
2015-01-28,90.88,90.93,87.82,87.95,17829700
2015-01-29,88.22,88.26,86.029999,87.58,22683000
2015-01-30,87.16,88.42,86.25,87.42,22679900
2015-02-02,87.85,89.59,87.5,89.58,20306300
2015-02-03,90.9,92.33,90.81,92.25,21900900
2015-02-04,91.64,92.27,90.51,91.46,19632200
2015-02-05,92.39,92.54,91.7,92.36,12809000
2015-02-06,92.099998,92.28,90.96,91.5,12331200
2015-02-09,91.4,92.29,91.24,91.56,11360700
2015-02-10,91.74,91.74,90.3,91.010002,12952900
2015-02-11,90.019997,90.83,89.79,90.6,12240600
2015-02-12,91.46,92.66,91.019997,92.37,14843000
2015-02-13,92.7,93.45,92.28,93.37,12061000
2015-02-17,92.75,93.07,92.29,93.050003,11758700
2015-02-18,91.99,91.99,90.39,91.010002,19177900
2015-02-19,89.64,90.42,88.58,89.44,19350600
2015-02-20,89.4,89.94,88.85,89.92,15959900
2015-02-23,89.26,89.55,88.74,89.010002,12771800
2015-02-24,89.33,89.78,89.13,89.42,9990700
2015-02-25,89.57,89.7,89.080002,89.6,9925700
2015-02-26,89.13,89.18,88.080002,88.65,13984000
2015-02-27,88.89,89.28,88.34,88.54,13090600
2015-03-02,88.34,88.52,87.35,88.040001,13793700
2015-03-03,87.93,88.019997,87.13,87.62,13493800
2015-03-04,87.96,87.96,86.93,87.18,13467600
2015-03-05,87.07,87.19,86.52,86.74,12527600
2015-03-06,86.41,86.6,85.32,85.63,16070500
2015-03-09,86.12,86.38,85.12,85.16,14503800
2015-03-10,84.82,85.53,84.24,84.26,17195500
2015-03-11,84.93,84.93,84.0,84.019997,13004700
2015-03-12,84.43,84.72,84.059998,84.22,10792900
2015-03-13,83.9,84.18,82.68,83.87,16799900
2015-03-16,83.71,84.86,83.27,84.76,13516200
2015-03-17,84.54,84.85,84.019997,84.080002,12979700
2015-03-18,83.54,86.37,83.43,86.07,18745700
2015-03-19,85.19,85.5,84.33,84.41,12738500
2015-03-20,84.67,85.4,84.39,84.54,36083500
2015-03-23,85.019997,85.78,85.010002,85.43,17450700
2015-03-24,85.3,85.78,84.5,84.52,10174300
2015-03-25,85.050003,85.57,84.77,84.86,11934700
2015-03-26,85.3,85.57,84.089996,84.32,14400700
2015-03-27,84.040001,84.050003,83.33,83.58,11579300
2015-03-30,84.27,85.82,84.25,85.63,15653200
2015-03-31,84.85,85.34,84.46,85.0,13354000
2015-04-01,85.7,86.0,84.26,84.46,14522300
2015-04-02,84.089996,84.94,83.85,84.3,11297400
2015-04-06,85.15,85.64,84.2,85.13,10916400
2015-04-07,85.010002,86.17,84.76,85.75,11836100
2015-04-08,85.8,85.9,84.019997,84.059998,16257100
2015-04-09,84.0,84.73,83.81,84.65,13281800
2015-04-10,85.37,86.040001,84.77,85.56,13372400
2015-04-13,85.92,86.25,85.24,85.34,9880500
2015-04-14,85.6,87.48,85.53,86.63,15693800
2015-04-15,87.14,88.53,87.14,88.080002,15332800
2015-04-16,87.88,88.16,87.11,87.73,9570800
2015-04-17,87.14,87.36,86.16,86.93,14430100
2015-04-20,87.13,88.099998,87.080002,87.24,11593600
2015-04-21,87.38,87.62,86.69,86.88,10100500
2015-04-22,87.040001,87.8,86.34,87.46,8663600
2015-04-23,87.36,88.38,87.31,87.54,9866100
2015-04-24,87.19,87.36,86.66,86.97,8405700
2015-04-27,87.41,87.6,86.76,87.010002,10534600
2015-04-28,87.22,87.86,87.040001,87.8,9633800
2015-04-29,87.5,88.07,86.96,87.87,12534100
2015-04-30,88.67,88.67,87.22,87.37,13947700
2015-05-01,87.85,88.95,87.7,88.85,12257100
2015-05-04,89.42,89.88,88.95,89.11,10343700
2015-05-05,89.97,90.089996,88.52,88.61,11895000
2015-05-06,89.65,89.96,87.79,88.19,11273500
2015-05-07,88.0,88.099998,86.92,87.6,9992500
2015-05-08,88.47,89.07,87.82,88.99,11390300
2015-05-11,88.53,88.57,86.65,86.78,11997800
2015-05-12,86.89,87.46,86.42,87.019997,9788900
2015-05-13,87.28,87.73,86.4,86.56,8629400
2015-05-14,86.93,87.34,86.75,86.97,8791300
2015-05-15,86.8,87.62,86.6,87.35,8422200
2015-05-18,87.31,87.46,86.78,86.85,6395400
2015-05-19,86.47,87.21,86.21,86.99,9777100
2015-05-20,87.39,87.4,86.91,87.13,7276600
2015-05-21,87.28,87.44,86.96,87.21,8357400
2015-05-22,86.99,87.099998,86.5,86.52,7598400
2015-05-26,86.040001,86.37,85.029999,85.35,11289000
2015-05-27,85.3,85.89,84.77,85.11,10778300
2015-05-28,85.11,85.57,84.82,85.11,8038900
2015-05-29,85.099998,85.58,84.88,85.2,14631300
2015-06-01,85.25,85.47,84.8,85.13,9077500
2015-06-02,85.12,85.59,84.91,85.14,9328300
2015-06-03,85.23,85.84,84.86,84.95,8179500
2015-06-04,84.7,84.89,83.78,84.22,12607300
2015-06-05,84.13,85.0,83.98,84.28,11388500
2015-06-08,84.18,85.21,83.93,84.85,12244700
2015-06-09,85.29,85.43,84.49,84.58,8105500
2015-06-10,85.84,85.97,85.0,85.21,10147000
2015-06-11,85.3,85.7,84.89,85.089996,7759300
2015-06-12,84.58,84.68,83.86,84.019997,8347300
2015-06-15,83.53,83.98,83.19,83.72,9563900
2015-06-16,83.81,84.75,83.4,84.68,9100100
2015-06-17,85.029999,85.13,84.41,84.73,9090200
2015-06-18,84.8,85.96,84.72,85.48,10247800
2015-06-19,84.92,85.48,84.92,85.21,16129600
2015-06-22,85.39,85.6,84.97,85.17,9465100
2015-06-23,85.22,85.28,84.59,85.07,10223900
2015-06-24,84.89,85.34,84.66,84.68,11800100
2015-06-25,84.85,84.85,83.93,83.93,10259400
2015-06-26,83.83,84.099998,83.49,83.86,19023300
2015-06-29,83.050003,83.45,82.8,82.82,11739200
2015-06-30,83.74,84.9,82.8,83.2,14981100
2015-07-01,83.28,83.53,82.11,82.37,13529100
2015-07-02,82.79,83.28,82.55,83.14,9188000
2015-07-06,82.42,83.059998,82.12,82.53,11694400
2015-07-07,82.19,83.23,81.49,82.87,15641500
2015-07-08,82.25,82.98,81.91,81.97,10057000
2015-07-09,82.87,83.15,81.58,81.6,11980500
2015-07-10,82.089996,82.49,81.72,82.22,8628700
2015-07-13,82.11,82.61,82.07,82.42,8026700
2015-07-14,82.38,83.32,82.26,83.11,9310200
2015-07-15,82.61,83.42,82.4,82.76,9289200
2015-07-16,83.18,83.48,82.8,82.91,8267600
2015-07-17,82.51,82.84,81.79,82.61,12156000
2015-07-20,82.15,82.41,81.6,81.76,12957100
2015-07-21,81.93,82.43,81.43,81.66,8677100
2015-07-22,82.35,82.47,81.58,81.79,13181500
2015-07-23,81.73,81.97,80.97,81.14,10496100
2015-07-24,81.16,81.16,79.72,79.94,14888500
2015-07-27,79.23,80.13,78.97,79.26,14996100
2015-07-28,79.7,82.67,79.57,82.48,19777300
2015-07-29,82.18,83.2,81.91,83.14,13913800
2015-07-30,83.18,83.32,82.42,83.010002,11139900
2015-07-31,81.67,81.67,78.93,79.21,26232700
2015-08-03,78.7,78.93,77.63,78.059998,15767700
2015-08-04,77.88,78.61,76.93,77.17,18874400
2015-08-05,77.87,78.23,76.9,77.17,16544400
2015-08-06,76.94,78.26,76.91,78.089996,13005200
2015-08-07,77.55,77.97,76.62,76.83,12187600
2015-08-10,77.089996,78.75,77.089996,78.75,14876000
2015-08-11,77.010002,78.07,76.33,77.49,14486400
2015-08-12,77.44,78.87,76.96,78.79,16492400
2015-08-13,78.32,79.29,78.27,78.65,13154100
2015-08-14,78.64,79.28,78.25,78.36,9129300
2015-08-17,77.93,79.18,77.45,78.77,9365400
2015-08-18,78.53,78.67,77.58,77.9,9815300
2015-08-19,77.51,77.58,75.93,76.23,17010100
2015-08-20,76.0,76.18,74.57,74.57,17811200
2015-08-21,74.099998,74.89,72.07,72.13,25488800
2015-08-24,67.99,71.38,66.55,68.72,35531200
2015-08-25,71.31,71.44,68.2,68.71,30409700
2015-08-26,70.63,72.75,69.15,72.5,34436000
2015-08-27,73.8,74.89,73.010002,74.85,24571000
2015-08-28,74.71,75.98,74.41,75.07,18997300
2015-08-31,74.28,75.55,73.3,75.24,19570100
2015-09-01,73.3,73.35,71.51,72.080002,24092900
2015-09-02,73.059998,73.24,72.0,73.23,16936900
2015-09-03,73.64,74.91,73.34,73.79,13451900
2015-09-04,72.93,73.14,72.25,72.46,14902500
2015-09-08,73.72,73.72,72.97,73.5,13626900
2015-09-09,74.37,74.68,71.85,72.0,17246200
2015-09-10,72.81,72.98,71.8,72.52,12353900
2015-09-11,72.4,72.72,72.010002,72.69,12172300
2015-09-14,72.31,72.58,71.76,72.49,10738500
2015-09-15,72.44,73.31,72.41,72.86,11979800
2015-09-16,73.51,74.7,73.37,74.3,15214200
2015-09-17,74.41,75.47,73.85,74.46,15603000
2015-09-18,73.26,73.56,72.12,72.68,23180200
2015-09-21,73.099998,73.61,72.73,73.39,10853000
2015-09-22,72.35,73.52,72.019997,72.74,14245200
2015-09-23,72.87,73.2,72.29,72.3,13784800
2015-09-24,72.0,73.15,71.72,72.73,14584200
2015-09-25,73.29,73.53,72.76,73.23,15175300
2015-09-28,72.62,73.46,72.4,72.6,14571900
2015-09-29,72.65,73.19,72.14,72.97,13754400
2015-09-30,73.4,74.35,73.33,74.35,18176500
2015-10-01,75.2,75.58,73.3,74.059998,14397800
2015-10-02,73.39,75.9,73.029999,75.88,18811300
2015-10-05,76.65,77.15,75.79,76.81,18486700
2015-10-06,76.96,78.56,76.26,77.89,18757900
2015-10-07,78.97,79.29,77.53,79.2,18666300
2015-10-08,79.31,80.11,78.54,80.029999,14344700
2015-10-09,80.050003,80.17,78.62,79.26,17384700
2015-10-12,79.59,79.59,78.72,79.3,9931800
2015-10-13,78.72,79.55,78.49,79.16,12326600
2015-10-14,78.97,80.48,78.78,80.16,14486000
2015-10-15,80.19,81.53,79.9,81.48,13640900
2015-10-16,82.26,82.5,81.45,82.48,14304400
2015-10-19,82.010002,82.17,80.76,80.99,14155800
2015-10-20,80.55,81.059998,80.2,80.83,12340100
2015-10-21,80.86,81.15,80.11,80.21,10274900
2015-10-22,80.68,82.96,80.66,82.89,14823500
2015-10-23,82.41,83.0,81.89,82.98,13215700
2015-10-26,82.52,82.73,81.17,81.22,12576400
2015-10-27,80.57,81.16,79.73,81.089996,13579400
2015-10-28,81.31,82.58,80.93,82.28,12473000
2015-10-29,81.79,83.22,81.79,82.23,10341200
2015-10-30,82.47,83.88,81.26,82.74,18758600
2015-11-02,82.3,85.93,82.089996,85.28,21266500
2015-11-03,85.66,87.44,85.58,86.85,20115900
2015-11-04,86.77,87.080002,85.7,85.98,14245400
2015-11-05,85.55,86.23,84.5,84.81,12291100
2015-11-06,83.93,84.47,83.22,84.47,12491700
2015-11-09,83.56,83.6,81.8,81.95,13551200
2015-11-10,81.93,82.61,81.86,82.35,14238000
2015-11-11,82.42,82.56,81.4,81.62,9598000
2015-11-12,80.57,81.28,79.32,79.41,16050600
2015-11-13,79.28,79.58,77.94,78.099998,17527300
2015-11-16,77.94,80.99,77.91,80.9,14548100
2015-11-17,80.71,80.88,79.63,79.96,10011700
2015-11-18,79.89,80.9,79.59,80.74,10884600
2015-11-19,80.51,80.78,80.040001,80.3,9453300
2015-11-20,80.57,80.94,79.65,79.79,10144400
2015-11-23,79.6,80.71,79.059998,80.28,11868400
2015-11-24,80.35,82.35,80.2,81.88,15055500
2015-11-25,81.3,82.17,81.099998,81.25,8980400
2015-11-27,80.58,81.26,80.46,81.23,4156600
2015-11-30,81.42,82.65,81.25,81.66,17729200
2015-12-01,81.76,82.13,81.27,81.89,13917000
2015-12-02,81.31,81.64,79.42,79.55,16300000
2015-12-03,79.72,79.85,78.019997,78.41,14870300
2015-12-04,77.35,78.98,77.029999,78.86,20156400
2015-12-07,77.33,77.5,75.75,76.8,17676100
2015-12-08,75.27,76.35,73.79,74.63,24217600
2015-12-09,74.84,77.19,74.73,75.63,22036300
2015-12-10,75.8,77.5,75.52,75.69,20142400
2015-12-11,74.82,75.54,74.34,74.34,20473100
2015-12-14,74.3,76.22,74.089996,76.029999,21976500
2015-12-15,77.43,79.6,77.33,79.43,24366800
2015-12-16,79.040001,79.61,78.0,79.15,17233900
2015-12-17,79.019997,79.23,77.95,77.96,17362900
2015-12-18,77.57,78.78,77.059998,77.28,28836000
2015-12-21,77.79,78.099998,76.65,77.26,14460500
2015-12-22,77.7,77.9,77.21,77.65,13855800
2015-12-23,78.68,80.22,78.32,80.19,15184200
2015-12-24,80.27,80.27,79.12,79.33,5848300
2015-12-28,78.12,78.86,77.91,78.74,9715800
2015-12-29,79.99,80.080002,78.84,79.16,8839000
2015-12-30,78.32,78.99,77.97,78.11,9314600
2015-12-31,77.51,78.44,77.43,77.95,10285500
2016-01-04,77.5,77.94,76.46,77.46,20400100
2016-01-05,77.19,78.14,76.92,78.12,11993500
